"Code","Title","Definition","Parent Codes","Ecf Case Types","Taxonomies"
"RI-03-00-00-00","Disability Rights and Discrimination","This category concerns situations in which someone feels they have been discriminated against based on their disability, or when they may have a right based on their disability. This includes situations around disability rights in education; protecting your employment rights while you have a disability; rights to service dogs and companion animals; voting access; rights to accommodation under the ADA; and otherwise.","RI-00-00-00-00, ED-05-00-00-00, MO-11-00-00-00, HE-01-10-00-00",,"Legal Server Index Taxonomy [LS002-00084], NSMI v1 Taxonomy [1840000], Wikidata Taxonomy [Q61890180], NSMI v1 Taxonomy [1840300], Legal Services Corporation Taxonomy [84]"
"VE-04-00-00-00","Health benefits for military and veterans","This category covers medical assistance and health benefits available to members of the US military or veterans of it.","VE-00-00-00-00, BE-03-00-00-00, BE-06-00-00-00",,"NSMI v1 Taxonomy [1770600]"
"VE-05-00-00-00","Mental Health for military and veterans","This category covers issues, services, and rights that military service-members or veterans might have, when they are dealing with mental health issues.","VE-00-00-00-00, HE-01-01-00-00",,"NSMI v1 Taxonomy [1770700]"
"VE-06-00-00-00","Legal protections for military","This category covers the special protections that members of the military or veterans may have, including if they are facing eviction, foreclosure, debt collection, or other legal processes.","VE-00-00-00-00",,
"HO-12-00-00-00","Zoning issues related to housing","About questions, regulations, and other concerns about zoning, and what kind of changes or buildings can be made based on zoning rules.","HO-00-00-00-00",,
"MO-08-00-00-00","Loans","This category covers issues when a person borrows money, including for school or education (financial aid or student loans), payday loans, and installment purchases. It also covers problems like predatory lending, fraud, or default.","MO-00-00-00-00",,"NSMI v1 Taxonomy [1060100], NSMI v1 Taxonomy [1060199], Legal Server Index Taxonomy [LS002-00006], Legal Services Corporation Taxonomy [06]"
"MO-11-00-00-00","Discrimination against a customer","This category covers situations in which a customer of a business experiences discrimination, either by owners or employees of the business, or other customers. This covers what rights and protections a person has if they face discrimination, and how to use these rights. It also covers what obligations the owners or employees have to deal with the discrimination.","MO-00-00-00-00",,
"WO-03-00-00-00","Problems regarding a Former Job","This category is about the period after leaving a job, including being fired or quitting, severance agreements, non-compete contracts, references, personnel files, getting back pay, and harassment.","WO-00-00-00-00",,
"WO-05-00-00-00","Unions","This category is about forming unions, joining them, rights as a union member, dealing with possible problems, and opting out of a union.","WO-00-00-00-00",,"NSMI v1 Taxonomy [1291600]"
"HE-03-00-00-00","Problems with medical or nursing home care","This category covers options, rights, and protections for a person who is unhappy with the quality of care they are receiving at a health facility or nursing home.","HE-00-00-00-00",,"NSMI v1 Taxonomy [1592100]"
"HE-05-00-00-00","Medical Records and Privacy","This category covers what options and protections a person has in regard to their medical data, records that doctors and hospitals might have about them, and what they can do if they think private data has been shared about them inappropriately. It also covers their ability to access their own medical record and share it with other providers or people.","HE-00-00-00-00, RI-12-00-00-00",,"NSMI v1 Taxonomy [1592400], NSMI v1 Taxonomy [1593100]"
"VE-00-00-00-00","Veterans and Military","This category covers issues, laws, and services specific to people who have served in the military.",,"CivilCase","NSMI v1 Taxonomy [1770000]"
"CR-01-00-00-00","Being a victim or witness to a crime","This category covers situations in which a person has been a victim of a crime, or a witness to it. This includes what rights they have, protections they may enjoy, or obligations they have.","CR-00-00-00-00",,
"CR-05-00-00-00","Line-ups and Identification","This category covers how police arrange for suspect identifications, like through line-ups and another means for witnesses to identify who committed a crime.","CR-01-04-00-00",,"NSMI v1 Taxonomy [2042000], NSMI v1 Taxonomy [ 2042099]"
"IM-02-00-00-00","Detention of immigrants","This category covers detention of immigrants in the United States, including how and when a person can be detained, how they might be released on bond, how they might be paroled, and the process and hearings that surround detention.","IM-00-00-00-00",,"NSMI v1 Taxonomy [1810400], NSMI v1 Taxonomy [1810499]"
"CR-09-00-00-00","Due Process rights in a criminal case","This category covers rights and options that a person has when facing criminal charges, in terms of what is required to allow them to have a fair trial with sufficient procedure that they can make their case and defend their rights. ","CR-00-00-00-00, CO-07-10-00-00",,"NSMI v1 Taxonomy [2040700]"
"CR-12-00-00-00","Dealing with police and prosecutors","This category covers issues and rights that a person may have when dealing with government agents like police and prosecutors -- particularly before a criminal trial. This includes what rights and protections a person has when interacting with the police, or being subject to searches or detention.","CR-00-00-00-00",,
"CR-06-00-00-00","Criminal Records","This category concerns issues an adult or juvenile may have with their criminal record, including access to it, confidentiality of it, expungement (or masking, or cleaning) it, or other concerns.","CR-00-00-00-00",,"NSMI v1 Taxonomy [1290299], NSMI v1 Taxonomy [1290200], NSMI v1 Taxonomy [2041200], NSMI v1 Taxonomy [2041299]"
"CR-03-00-00-00","Confessions and statements to the police","This category covers situations in which a person is talking to the police about a crime and makes a statement that can be used as a confession or otherwise against them in a criminal proceeding. This includes what protections a person has, and how they may challenge the validity of this statement.","CR-12-00-00-00, CR-16-00-00-00",,"NSMI v1 Taxonomy [2040400], NSMI v1 Taxonomy [2040499]"
"CR-14-00-00-00","Reentry after prison","This category covers options and rules for people who have been prisoners, and are leaving prison to re-enter society. This concerns options for their work, housing, finances, education, and dealing with after-effects of the criminal justice system.","CR-00-00-00-00",,"NSMI v1 Taxonomy [1832400], NSMI v1 Taxonomy [1832499]"
"IM-00-00-00-00","Immigration","This category covers visas, asylum, green cards, citizenship, migrant work and benefits, and other issues faced by people who are not full citizens in the US.",,,"Legal Server Index Taxonomy [LS002-08100], NSMI v1 Taxonomy [1810000], NSMI v1 Taxonomy [1810099], Legal Services Corporation Taxonomy [81]"
"IM-01-00-00-00","Deportation or Removal of immigrants","This category covers situations in which an immigrant to the United States might be deported or removed, for a criminal situation, or another kind of violation. It also covers waivers and protections against removal, as well as the types of process and immigrant can use to stop the deportation.","IM-00-00-00-00",,"NSMI v1 Taxonomy [1810500], NSMI v1 Taxonomy [1810599]"
"CR-11-00-00-00","Challenging detention through Habeas Corpus","This category covers situations when a criminal suspect or defendant may raise a habeas corpus claim to challenge the validity of their detention. This could be before, during, or after a criminal trial. This covers how a person may file a writ of habeas corpus to challenge whether it's legal to detain a person, or whether a conviction is valid under the law.
","CR-08-01-00-00, CR-12-00-00-00",,"NSMI v1 Taxonomy [2040800], NSMI v1 Taxonomy [2040899]"
"CR-04-00-00-00","Having a lawyer in a criminal case","This category covers how a person may get and deal with a lawyer if they have been charged with a crime. This includes what right a person has to a lawyer, or how to privately hire a lawyer on one's own.","CR-00-00-00-00, CO-01-00-00-00",,"NSMI v1 Taxonomy [2042500], NSMI v1 Taxonomy [2042599]"
"CR-07-00-00-00","Death Penalty","This category concerns the options, rights, and procedure of those facing the death penalty. It includes issues around understanding the local laws on death penalty, seeking clemency, problems with legal counsel representation, selection of juries, prosecutor's conduct, presentation of scientific evidence, showing competency or mental retardation, and other issues.","CR-00-00-00-00",,"NSMI v1 Taxonomy [2310000]"
